Region,Regional-totals,Year
Africa,16.2,1988
Africa,16.3,1989
Africa,16.3,1990
Africa,14.4,1991
Africa,13.4,1992
Africa,15.2,1993
Africa,60.1,1994
Africa,36.1,1995
Africa,12.5,1996
Africa,13.4,1997
Africa,14.1,1998
Africa,19.6,1999
Africa,17.8,2000
Africa,18.4,2001
Africa,20.2,2002
Africa,19.2,2003
Africa,22.0,2004
Africa,22.1,2005
Africa,26.0,2006
Africa,27.3,2007
Africa,31.9,2008
Africa,32.4,2009
Africa,34.2,2010
Africa,38.0,2011
Africa,37.6,2012
Africa,40.5,2013
Africa,42.4,2014
Africa,40.5,2015
Africa,38.6,2016
Africa,37.6,2017
Africa,36.3,2018
Africa,37.2,2019
Africa,39.0,2020
Africa,40.0,2021
Africa,37.9,2022
Americas,761.6,1988
Americas,754.0,1989
Americas,720.3,1990
Americas,637.1,1991
Americas,667.9,1992
Americas,637.6,1993
Americas,609.4,1994
Americas,573.6,1995
Americas,544.1,1996
Americas,538.5,1997
Americas,529.8,1998
Americas,531.9,1999
Americas,550.6,2000
Americas,557.9,2001
Americas,620.0,2002
Americas,696.8,2003
Americas,756.7,2004
Americas,792.1,2005
Americas,804.9,2006
Americas,829.8,2007
Americas,890.4,2008
Americas,959.5,2009
Americas,985.6,2010
Americas,975.4,2011
Americas,925.5,2012
Americas,860.5,2013
Americas,813.0,2014
Americas,798.0,2015
Americas,794.8,2016
Americas,793.6,2017
Americas,816.7,2018
Americas,858.3,2019
Americas,897.7,2020
Americas,888.4,2021
Americas,891.1,2022
Asia & Oceania,142.4,1988
Asia & Oceania,149.8,1989
Asia & Oceania,156.8,1990
Asia & Oceania,159.6,1991
Asia & Oceania,167.2,1992
Asia & Oceania,171.1,1993
Asia & Oceania,172.2,1994
Asia & Oceania,177.1,1995
Asia & Oceania,181.6,1996
Asia & Oceania,188.0,1997
Asia & Oceania,188.5,1998
Asia & Oceania,199.6,1999
Asia & Oceania,204.2,2000
Asia & Oceania,216.0,2001
Asia & Oceania,226.6,2002
Asia & Oceania,236.2,2003
Asia & Oceania,250.3,2004
Asia & Oceania,263.1,2005
Asia & Oceania,278.6,2006
Asia & Oceania,295.6,2007
Asia & Oceania,313.7,2008
Asia & Oceania,353.5,2009
Asia & Oceania,361.7,2010
Asia & Oceania,375.3,2011
Asia & Oceania,392.6,2012
Asia & Oceania,410.5,2013
Asia & Oceania,432.3,2014
Asia & Oceania,457.2,2015
Asia & Oceania,481.1,2016
Asia & Oceania,502.7,2017
Asia & Oceania,523.0,2018
Asia & Oceania,549.0,2019
Asia & Oceania,567.8,2020
Asia & Oceania,580.4,2021
Asia & Oceania,595.9,2022
Europe,615.6,1988
Europe,601.0,1989
Europe,545.5,1990
Europe,...,1991
Europe,356.9,1992
Europe,332.8,1993
Europe,326.1,1994
Europe,303.1,1995
Europe,301.2,1996
Europe,302.3,1997
Europe,292.4,1998
Europe,298.0,1999
Europe,307.0,2000
Europe,309.5,2001
Europe,317.1,2002
Europe,324.2,2003
Europe,328.3,2004
Europe,325.7,2005
Europe,337.2,2006
Europe,346.4,2007
Europe,355.9,2008
Europe,360.7,2009
Europe,353.6,2010
Europe,347.7,2011
Europe,350.8,2012
Europe,344.6,2013
Europe,348.4,2014
Europe,357.4,2015
Europe,369.2,2016
Europe,362.1,2017
Europe,368.4,2018
Europe,387.3,2019
Europe,407.9,2020
Europe,420.7,2021
Europe,477.0,2022
Middle East,66.4,1988
Middle East,63.1,1989
Middle East,88.0,1990
Middle East,97.6,1991
Middle East,82.6,1992
Middle East,77.8,1993
Middle East,76.0,1994
Middle East,73.0,1995
Middle East,72.1,1996
Middle East,84.6,1997
Middle East,89.9,1998
Middle East,88.6,1999
Middle East,97.9,2000
Middle East,101.1,2001
Middle East,96.8,2002
Middle East,98.1,2003
Middle East,104.1,2004
Middle East,112.4,2005
Middle East,119.6,2006
Middle East,131.8,2007
Middle East,133.2,2008
Middle East,138.9,2009
Middle East,146.6,2010
Middle East,151.5,2011
Middle East,164.9,2012
Middle East,182.8,2013
Middle East,197.9,2014
Middle East,208.8,2015
Middle East,188.0,2016
Middle East,197.1,2017
Middle East,205.7,2018
Middle East,196.8,2019
Middle East,179.5,2020
Middle East,174.5,2021
Middle East,180.1,2022
