"Country Name","Country Code","Indicator Name","Indicator Code","2022"
"Aruba","ABW","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Africa Eastern and Southern","AFE","Military expenditure (current USD)","MS.MIL.XPND.CD","11664366312"
"Afghanistan","AFG","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Africa Western and Central","AFW","Military expenditure (current USD)","MS.MIL.XPND.CD","8409466943"
"Angola","AGO","Military expenditure (current USD)","MS.MIL.XPND.CD","1622763732"
"Albania","ALB","Military expenditure (current USD)","MS.MIL.XPND.CD","288724229.3"
"Andorra","AND","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Arab World","ARB","Military expenditure (current USD)","MS.MIL.XPND.CD","1.38E+11"
"United Arab Emirates","ARE","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Argentina","ARG","Military expenditure (current USD)","MS.MIL.XPND.CD","2577581833"
"Armenia","ARM","Military expenditure (current USD)","MS.MIL.XPND.CD","795201580"
"American Samoa","ASM","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Antigua and Barbuda","ATG","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Australia","AUS","Military expenditure (current USD)","MS.MIL.XPND.CD","32298918664"
"Austria","AUT","Military expenditure (current USD)","MS.MIL.XPND.CD","3625564802"
"Azerbaijan","AZE","Military expenditure (current USD)","MS.MIL.XPND.CD","2991035294"
"Burundi","BDI","Military expenditure (current USD)","MS.MIL.XPND.CD","101434221.2"
"Belgium","BEL","Military expenditure (current USD)","MS.MIL.XPND.CD","6867022306"
"Benin","BEN","Military expenditure (current USD)","MS.MIL.XPND.CD","97183042.49"
"Burkina Faso","BFA","Military expenditure (current USD)","MS.MIL.XPND.CD","562583349.2"
"Bangladesh","BGD","Military expenditure (current USD)","MS.MIL.XPND.CD","4806263481"
"Bulgaria","BGR","Military expenditure (current USD)","MS.MIL.XPND.CD","1335963350"
"Bahrain","BHR","Military expenditure (current USD)","MS.MIL.XPND.CD","1381313830"
"Bahamas, The","BHS","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Bosnia and Herz.","BIH","Military expenditure (current USD)","MS.MIL.XPND.CD","184486412.6"
"Belarus","BLR","Military expenditure (current USD)","MS.MIL.XPND.CD","820783591.5"
"Belize","BLZ","Military expenditure (current USD)","MS.MIL.XPND.CD","23673550"
"Bermuda","BMU","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Bolivia","BOL","Military expenditure (current USD)","MS.MIL.XPND.CD","640309309.6"
"Brazil","BRA","Military expenditure (current USD)","MS.MIL.XPND.CD","20210787437"
"Barbados","BRB","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Brunei Darussalam","BRN","Military expenditure (current USD)","MS.MIL.XPND.CD","435857351.2"
"Bhutan","BTN","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Botswana","BWA","Military expenditure (current USD)","MS.MIL.XPND.CD","489324154.3"
"Central African Rep.","CAF","Military expenditure (current USD)","MS.MIL.XPND.CD","42001802.66"
"Canada","CAN","Military expenditure (current USD)","MS.MIL.XPND.CD","26896315905"
"Central Europe and the Baltics","CEB","Military expenditure (current USD)","MS.MIL.XPND.CD","37103293311"
"Switzerland","CHE","Military expenditure (current USD)","MS.MIL.XPND.CD","6145191703"
"Channel Islands","CHI","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Chile","CHL","Military expenditure (current USD)","MS.MIL.XPND.CD","5566455219"
"China","CHN","Military expenditure (current USD)","MS.MIL.XPND.CD","2.92E+11"
"Côte d'Ivoire","CIV","Military expenditure (current USD)","MS.MIL.XPND.CD","607245699.6"
"Cameroon","CMR","Military expenditure (current USD)","MS.MIL.XPND.CD","416638021.6"
"Dem. Rep. Congo","COD","Military expenditure (current USD)","MS.MIL.XPND.CD","371081599.9"
"Congo","COG","Military expenditure (current USD)","MS.MIL.XPND.CD","265847972.7"
"Colombia","COL","Military expenditure (current USD)","MS.MIL.XPND.CD","9937702305"
"Comoros","COM","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Cabo Verde","CPV","Military expenditure (current USD)","MS.MIL.XPND.CD","10250668.27"
"Costa Rica","CRI","Military expenditure (current USD)","MS.MIL.XPND.CD","0"
"Caribbean small states","CSS","Military expenditure (current USD)","MS.MIL.XPND.CD","524059576.4"
"Cuba","CUB","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Curacao","CUW","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Cayman Islands","CYM","Military expenditure (current USD)","MS.MIL.XPND.CD",""
"Cyprus","CYP","Military expenditure (current USD)","MS.MIL.XPND.CD","494238390.5"
